GeoName,Year,DataValue,Unit,Multiplier
"Bullock, AL",2010,23404,Dollars,0
"Bullock, AL",2011,23846,Dollars,0
"Bullock, AL",2012,24729,Dollars,0
"Butler, AL",2013,31573,Dollars,0
"Butler, AL",2012,29992,Dollars,0
"Butler, AL",2011,28817,Dollars,0
"Butler, AL",2010,28528,Dollars,0
"Butler, AL",2009,27451,Dollars,0
"Butler, AL",2008,27855,Dollars,0
"Butler, AL",2007,26973,Dollars,0
"Butler, AL",2006,25056,Dollars,0
"Butler, AL",2005,24360,Dollars,0
"Butler, AL",2004,23618,Dollars,0
"Butler, AL",2015,34694,Dollars,0
"Butler, AL",2014,33003,Dollars,0
"Calhoun, AL",2013,31607,Dollars,0
"Calhoun, AL",2014,32424,Dollars,0
"Calhoun, AL",2015,33633,Dollars,0
"Calhoun, AL",2004,26559,Dollars,0
"Calhoun, AL",2005,27457,Dollars,0
"Calhoun, AL",2006,28520,Dollars,0
"Calhoun, AL",2007,30039,Dollars,0
"Calhoun, AL",2008,30912,Dollars,0
"Calhoun, AL",2009,30132,Dollars,0
"Calhoun, AL",2010,30949,Dollars,0
"Calhoun, AL",2011,31645,Dollars,0
"Calhoun, AL",2012,31948,Dollars,0
"Chambers, AL",2004,23549,Dollars,0
"Chambers, AL",2005,24184,Dollars,0
"Chambers, AL",2006,25497,Dollars,0
"Chambers, AL",2007,26536,Dollars,0
"Chambers, AL",2008,26139,Dollars,0
"Chambers, AL",2009,26130,Dollars,0
"Chambers, AL",2010,27365,Dollars,0
"Chambers, AL",2011,28528,Dollars,0
"Chambers, AL",2012,28859,Dollars,0
"Chambers, AL",2013,29007,Dollars,0
"Chambers, AL",2014,29492,Dollars,0
"Chambers, AL",2015,30691,Dollars,0
"Cherokee, AL",2013,31421,Dollars,0
"Cherokee, AL",2014,32916,Dollars,0
"Cherokee, AL",2015,34626,Dollars,0
"Cherokee, AL",2004,22336,Dollars,0
"Cherokee, AL",2005,23128,Dollars,0
"Cherokee, AL",2006,24083,Dollars,0
"Cherokee, AL",2007,26300,Dollars,0
"Cherokee, AL",2008,27643,Dollars,0
"Cherokee, AL",2009,27312,Dollars,0
"Cherokee, AL",2010,28169,Dollars,0
"Cherokee, AL",2011,29046,Dollars,0
"Cherokee, AL",2012,30225,Dollars,0
"Chilton, AL",2013,29550,Dollars,0
"Chilton, AL",2012,29360,Dollars,0
"Chilton, AL",2011,28758,Dollars,0
"Chilton, AL",2010,27545,Dollars,0
"Chilton, AL",2009,27157,Dollars,0
"Chilton, AL",2008,27534,Dollars,0
"Chilton, AL",2007,27239,Dollars,0
"Chilton, AL",2006,25933,Dollars,0
"Chilton, AL",2005,24447,Dollars,0
"Chilton, AL",2004,23266,Dollars,0
"Chilton, AL",2015,31667,Dollars,0
"Chilton, AL",2014,30128,Dollars,0
"Choctaw, AL",2013,33469,Dollars,0
"Choctaw, AL",2014,34221,Dollars,0
"Choctaw, AL",2015,34610,Dollars,0
"Choctaw, AL",2004,21734,Dollars,0
"Choctaw, AL",2005,21984,Dollars,0
"Choctaw, AL",2006,23055,Dollars,0
"Choctaw, AL",2007,23838,Dollars,0
"Choctaw, AL",2008,24490,Dollars,0
"Choctaw, AL",2009,25419,Dollars,0
"Choctaw, AL",2010,27875,Dollars,0
"Choctaw, AL",2011,29228,Dollars,0
"Choctaw, AL",2012,31423,Dollars,0
"Clarke, AL",2013,31147,Dollars,0
"Clarke, AL",2014,32224,Dollars,0
"Clarke, AL",2015,33487,Dollars,0
"Clarke, AL",2004,22878,Dollars,0
"Clarke, AL",2005,23743,Dollars,0
"Clarke, AL",2006,24854,Dollars,0
"Clarke, AL",2007,26353,Dollars,0
"Clarke, AL",2008,26956,Dollars,0
"Clarke, AL",2009,27298,Dollars,0
"Clarke, AL",2010,28559,Dollars,0
"Clarke, AL",2011,29177,Dollars,0
"Clarke, AL",2012,29849,Dollars,0
"Clay, AL",2013,27306,Dollars,0
"Clay, AL",2014,28468,Dollars,0
"Clay, AL",2015,29745,Dollars,0
"Clay, AL",2004,23864,Dollars,0
"Clay, AL",2005,25802,Dollars,0
"Clay, AL",2006,27210,Dollars,0
"Clay, AL",2007,27554,Dollars,0
"Clay, AL",2008,28342,Dollars,0
"Clay, AL",2009,27719,Dollars,0
"Clay, AL",2010,27820,Dollars,0
"Clay, AL",2011,26330,Dollars,0
"Clay, AL",2012,26922,Dollars,0
"Cleburne, AL",2013,31290,Dollars,0
"Cleburne, AL",2014,32722,Dollars,0
"Cleburne, AL",2015,34136,Dollars,0
"Cleburne, AL",2004,23184,Dollars,0
"Cleburne, AL",2005,24422,Dollars,0
"Cleburne, AL",2006,24660,Dollars,0
"Cleburne, AL",2007,25720,Dollars,0
"Cleburne, AL",2008,27051,Dollars,0
"Cleburne, AL",2009,26850,Dollars,0
"Cleburne, AL",2010,28047,Dollars,0
"Cleburne, AL",2011,28654,Dollars,0
"Cleburne, AL",2012,30252,Dollars,0
"Coffee, AL",2004,29234,Dollars,0
"Coffee, AL",2005,29777,Dollars,0
"Coffee, AL",2006,30482,Dollars,0
"Coffee, AL",2007,32469,Dollars,0
"Coffee, AL",2008,34057,Dollars,0
"Coffee, AL",2009,34035,Dollars,0
"Coffee, AL",2010,35419,Dollars,0
"Coffee, AL",2011,36016,Dollars,0
"Coffee, AL",2012,35949,Dollars,0
"Coffee, AL",2013,36853,Dollars,0
"Coffee, AL",2014,37630,Dollars,0
"Coffee, AL",2015,39198,Dollars,0
"Colbert, AL",2013,32697,Dollars,0
"Colbert, AL",2014,33877,Dollars,0
"Colbert, AL",2015,34702,Dollars,0
"Colbert, AL",2004,25048,Dollars,0
"Colbert, AL",2005,26578,Dollars,0
"Colbert, AL",2006,28045,Dollars,0
"Colbert, AL",2007,29513,Dollars,0
"Colbert, AL",2008,30454,Dollars,0
"Colbert, AL",2009,30437,Dollars,0
"Colbert, AL",2010,31627,Dollars,0
"Colbert, AL",2011,32392,Dollars,0
"Colbert, AL",2012,32405,Dollars,0
"Conecuh, AL",2013,28823,Dollars,0
"Conecuh, AL",2014,29045,Dollars,0
"Conecuh, AL",2015,30050,Dollars,0
"Conecuh, AL",2004,21699,Dollars,0
"Conecuh, AL",2005,22883,Dollars,0
"Conecuh, AL",2006,22964,Dollars,0
"Conecuh, AL",2007,23919,Dollars,0
"Conecuh, AL",2008,24880,Dollars,0
"Conecuh, AL",2009,25078,Dollars,0
"Conecuh, AL",2010,26330,Dollars,0
"Conecuh, AL",2011,26387,Dollars,0
"Conecuh, AL",2012,26906,Dollars,0
"Coosa, AL",2013,26462,Dollars,0
"Coosa, AL",2014,26860,Dollars,0
"Coosa, AL",2015,28554,Dollars,0
"Coosa, AL",2004,23384,Dollars,0
"Coosa, AL",2005,23727,Dollars,0
"Coosa, AL",2006,25159,Dollars,0
"Coosa, AL",2007,25535,Dollars,0
"Coosa, AL",2008,26600,Dollars,0
"Coosa, AL",2009,26108,Dollars,0
"Coosa, AL",2010,23872,Dollars,0
"Coosa, AL",2011,25464,Dollars,0
"Coosa, AL",2012,26046,Dollars,0
"Covington, AL",2013,30562,Dollars,0
"Covington, AL",2014,31525,Dollars,0
"Covington, AL",2015,32348,Dollars,0
"Covington, AL",2004,24387,Dollars,0
"Covington, AL",2005,24660,Dollars,0
"Covington, AL",2006,25261,Dollars,0
"Covington, AL",2007,26575,Dollars,0
"Covington, AL",2008,27829,Dollars,0
"Covington, AL",2009,28186,Dollars,0
"Covington, AL",2010,29398,Dollars,0
"Covington, AL",2011,29410,Dollars,0
"Covington, AL",2012,29978,Dollars,0
"Crenshaw, AL",2013,33446,Dollars,0
"Crenshaw, AL",2014,34391,Dollars,0
"Crenshaw, AL",2015,36764,Dollars,0
"Crenshaw, AL",2004,25317,Dollars,0
"Crenshaw, AL",2005,27092,Dollars,0
"Crenshaw, AL",2006,26452,Dollars,0
"Crenshaw, AL",2007,26736,Dollars,0
"Crenshaw, AL",2008,27975,Dollars,0
"Crenshaw, AL",2009,28105,Dollars,0
"Crenshaw, AL",2010,29911,Dollars,0
"Crenshaw, AL",2011,29147,Dollars,0
"Crenshaw, AL",2012,30423,Dollars,0
"Cullman, AL",2004,26717,Dollars,0
"Cullman, AL",2005,27831,Dollars,0
"Cullman, AL",2006,28161,Dollars,0
"Cullman, AL",2007,29386,Dollars,0
"Cullman, AL",2008,30182,Dollars,0
"Cullman, AL",2009,29909,Dollars,0
"Cullman, AL",2010,30528,Dollars,0
"Cullman, AL",2011,30934,Dollars,0
"Cullman, AL",2012,32130,Dollars,0
"Cullman, AL",2013,33696,Dollars,0
"Cullman, AL",2014,34072,Dollars,0
"Cullman, AL",2015,36284,Dollars,0
"Dale, AL",2004,26238,Dollars,0
"Dale, AL",2005,28679,Dollars,0
"Dale, AL",2006,30755,Dollars,0
"Dale, AL",2007,31417,Dollars,0
"Dale, AL",2008,31596,Dollars,0
"Dale, AL",2009,32076,Dollars,0
"Dale, AL",2010,33121,Dollars,0
"Dale, AL",2011,34008,Dollars,0
"Dale, AL",2012,33279,Dollars,0
"Dale, AL",2013,33280,Dollars,0
"Dale, AL",2014,33621,Dollars,0
"Dale, AL",2015,34380,Dollars,0
"Dallas, AL",2004,23209,Dollars,0
"Dallas, AL",2005,24143,Dollars,0
"Dallas, AL",2006,25747,Dollars,0
"Dallas, AL",2007,26257,Dollars,0
"Dallas, AL",2008,27126,Dollars,0
"Dallas, AL",2009,26950,Dollars,0
"Dallas, AL",2010,27949,Dollars,0
"Dallas, AL",2011,28993,Dollars,0
"Dallas, AL",2012,28942,Dollars,0
"Dallas, AL",2013,29311,Dollars,0
"Dallas, AL",2014,29620,Dollars,0
"Dallas, AL",2015,31313,Dollars,0
"DeKalb, AL",2013,27835,Dollars,0
"DeKalb, AL",2014,28748,Dollars,0
"DeKalb, AL",2015,30370,Dollars,0
"DeKalb, AL",2004,23841,Dollars,0
"DeKalb, AL",2005,23711,Dollars,0
"DeKalb, AL",2006,23825,Dollars,0
"DeKalb, AL",2007,25350,Dollars,0
"DeKalb, AL",2008,26235,Dollars,0
"DeKalb, AL",2009,25922,Dollars,0
"DeKalb, AL",2010,26872,Dollars,0
"DeKalb, AL",2011,25826,Dollars,0
"DeKalb, AL",2012,26840,Dollars,0
"Elmore, AL",2013,35312,Dollars,0
"Elmore, AL",2014,35844,Dollars,0
"Elmore, AL",2015,37402,Dollars,0
"Elmore, AL",2004,27892,Dollars,0
"Elmore, AL",2005,28967,Dollars,0
"Elmore, AL",2006,30446,Dollars,0
"Elmore, AL",2007,31771,Dollars,0
"Elmore, AL",2008,33393,Dollars,0
"Elmore, AL",2009,33493,Dollars,0
"Elmore, AL",2010,34227,Dollars,0
"Elmore, AL",2011,35153,Dollars,0
"Elmore, AL",2012,35728,Dollars,0
"Escambia, AL",2013,29089,Dollars,0
"Escambia, AL",2014,29467,Dollars,0
"Escambia, AL",2015,29887,Dollars,0
"Escambia, AL",2004,21196,Dollars,0
"Escambia, AL",2005,22729,Dollars,0
"Escambia, AL",2006,23618,Dollars,0
"Escambia, AL",2007,24512,Dollars,0
"Escambia, AL",2008,25364,Dollars,0
"Escambia, AL",2009,25390,Dollars,0
"Escambia, AL",2010,26812,Dollars,0
"Escambia, AL",2011,27519,Dollars,0
"Escambia, AL",2012,28689,Dollars,0
"Etowah, AL",2013,31154,Dollars,0
"Etowah, AL",2012,30977,Dollars,0
"Etowah, AL",2011,30626,Dollars,0
"Etowah, AL",2010,30190,Dollars,0
"Etowah, AL",2009,29085,Dollars,0
"Etowah, AL",2008,29158,Dollars,0
"Etowah, AL",2007,28302,Dollars,0
"Etowah, AL",2006,26705,Dollars,0
"Etowah, AL",2005,25933,Dollars,0
"Etowah, AL",2004,25093,Dollars,0
"Etowah, AL",2015,33706,Dollars,0
"Etowah, AL",2014,32245,Dollars,0
"Fayette, AL",2013,28977,Dollars,0
"Fayette, AL",2014,30175,Dollars,0
"Fayette, AL",2015,31917,Dollars,0
"Fayette, AL",2004,21334,Dollars,0
"Fayette, AL",2005,21958,Dollars,0
"Fayette, AL",2006,22771,Dollars,0
"Fayette, AL",2007,24321,Dollars,0
"Fayette, AL",2008,24981,Dollars,0
"Fayette, AL",2009,25227,Dollars,0
"Fayette, AL",2010,26218,Dollars,0
"Fayette, AL",2011,27081,Dollars,0
"Fayette, AL",2012,28481,Dollars,0
"Franklin, AL",2004,23853,Dollars,0
"Franklin, AL",2005,24784,Dollars,0
"Franklin, AL",2006,24915,Dollars,0
"Franklin, AL",2007,26745,Dollars,0
"Franklin, AL",2008,27363,Dollars,0
"Franklin, AL",2009,26799,Dollars,0
"Franklin, AL",2010,27908,Dollars,0
"Franklin, AL",2011,27787,Dollars,0
"Franklin, AL",2012,28119,Dollars,0
"Franklin, AL",2013,28437,Dollars,0
"Franklin, AL",2014,29432,Dollars,0
"Franklin, AL",2015,31072,Dollars,0
"Geneva, AL",2013,30288,Dollars,0
"Geneva, AL",2014,31107,Dollars,0
"Geneva, AL",2015,32345,Dollars,0
"Geneva, AL",2004,23829,Dollars,0
"Geneva, AL",2005,25175,Dollars,0
"Geneva, AL",2006,25076,Dollars,0
"Geneva, AL",2007,26598,Dollars,0
"Geneva, AL",2008,27593,Dollars,0
"Geneva, AL",2009,28192,Dollars,0
"Geneva, AL",2010,28832,Dollars,0
"Geneva, AL",2011,29306,Dollars,0
"Geneva, AL",2012,29148,Dollars,0
"Greene, AL",2013,30405,Dollars,0
"Greene, AL",2014,28541,Dollars,0
"Greene, AL",2015,30641,Dollars,0
"Greene, AL",2004,22054,Dollars,0
"Greene, AL",2005,23507,Dollars,0
"Greene, AL",2006,25360,Dollars,0
"Greene, AL",2007,26083,Dollars,0
"Greene, AL",2008,26417,Dollars,0
"Greene, AL",2009,27038,Dollars,0
"Greene, AL",2010,26660,Dollars,0
"Greene, AL",2011,27529,Dollars,0
"Greene, AL",2012,27575,Dollars,0
"Hale, AL",2004,22112,Dollars,0
"Hale, AL",2005,23381,Dollars,0
"Hale, AL",2006,25452,Dollars,0
"Hale, AL",2007,26270,Dollars,0
"Hale, AL",2008,27992,Dollars,0
"Hale, AL",2009,28561,Dollars,0
"Hale, AL",2010,28912,Dollars,0
"Hale, AL",2011,30131,Dollars,0
"Hale, AL",2012,30645,Dollars,0
"Hale, AL",2013,31814,Dollars,0
"Hale, AL",2014,31571,Dollars,0
"Hale, AL",2015,33632,Dollars,0
"Henry, AL",2004,23834,Dollars,0
"Henry, AL",2005,26123,Dollars,0
"Henry, AL",2006,26665,Dollars,0
"Henry, AL",2007,28539,Dollars,0
"Henry, AL",2008,30453,Dollars,0
"Henry, AL",2009,30277,Dollars,0
"Henry, AL",2010,30862,Dollars,0
"Henry, AL",2011,32418,Dollars,0
"Henry, AL",2012,33212,Dollars,0
"Henry, AL",2013,34916,Dollars,0
"Henry, AL",2014,36466,Dollars,0
"Henry, AL",2015,37905,Dollars,0
"Houston, AL",2014,37378,Dollars,0
"Houston, AL",2013,36378,Dollars,0
"Houston, AL",2012,36565,Dollars,0
"Houston, AL",2011,36504,Dollars,0
"Houston, AL",2010,35434,Dollars,0
"Houston, AL",2009,33819,Dollars,0
"Houston, AL",2008,34597,Dollars,0
"Houston, AL",2007,34619,Dollars,0
"Houston, AL",2006,33285,Dollars,0
"Houston, AL",2005,31459,Dollars,0
"Houston, AL",2004,30089,Dollars,0
"Houston, AL",2015,38637,Dollars,0
"Jackson, AL",2013,31690,Dollars,0
"Jackson, AL",2014,32544,Dollars,0
"Jackson, AL",2015,33351,Dollars,0
"Jackson, AL",2004,25116,Dollars,0
"Jackson, AL",2005,26404,Dollars,0
"Jackson, AL",2006,27206,Dollars,0
"Jackson, AL",2007,28505,Dollars,0
"Jackson, AL",2008,29507,Dollars,0
"Jackson, AL",2009,28685,Dollars,0
"Jackson, AL",2010,29557,Dollars,0
"Jackson, AL",2011,30281,Dollars,0
"Jackson, AL",2012,30866,Dollars,0
"Jefferson, AL",2013,44208,Dollars,0
"Jefferson, AL",2014,45630,Dollars,0
"Jefferson, AL",2015,47839,Dollars,0
"Jefferson, AL",2004,36147,Dollars,0
"Jefferson, AL",2005,37664,Dollars,0
"Jefferson, AL",2006,39969,Dollars,0
"Jefferson, AL",2007,41095,Dollars,0
"Jefferson, AL",2008,42239,Dollars,0
"Jefferson, AL",2009,40264,Dollars,0
"Jefferson, AL",2010,42087,Dollars,0
"Jefferson, AL",2011,43235,Dollars,0
"Jefferson, AL",2012,44941,Dollars,0
"Lamar, AL",2004,21207,Dollars,0
"Lamar, AL",2005,22400,Dollars,0
"Lamar, AL",2006,23115,Dollars,0
"Lamar, AL",2007,24465,Dollars,0
"Lamar, AL",2008,25229,Dollars,0
"Lamar, AL",2009,25168,Dollars,0
"Lamar, AL",2010,26638,Dollars,0
"Lamar, AL",2011,27931,Dollars,0
"Lamar, AL",2012,28972,Dollars,0
"Lamar, AL",2013,29018,Dollars,0
"Lamar, AL",2014,29728,Dollars,0
"Lamar, AL",2015,31011,Dollars,0
"Lauderdale, AL",2004,25735,Dollars,0
"Lauderdale, AL",2005,27048,Dollars,0
"Lauderdale, AL",2006,28211,Dollars,0
"Lauderdale, AL",2007,29594,Dollars,0
"Lauderdale, AL",2008,29973,Dollars,0
"Lauderdale, AL",2009,29521,Dollars,0
"Lauderdale, AL",2010,31003,Dollars,0
"Lauderdale, AL",2011,31838,Dollars,0
"Lauderdale, AL",2012,32256,Dollars,0
"Lauderdale, AL",2013,32282,Dollars,0
"Lauderdale, AL",2014,33560,Dollars,0
"Lauderdale, AL",2015,34449,Dollars,0
"Lawrence, AL",2013,31085,Dollars,0
"Lawrence, AL",2012,29175,Dollars,0
"Lawrence, AL",2011,28291,Dollars,0
"Lawrence, AL",2010,27697,Dollars,0
"Lawrence, AL",2009,27258,Dollars,0
"Lawrence, AL",2008,27677,Dollars,0
"Lawrence, AL",2007,26647,Dollars,0
"Lawrence, AL",2006,24936,Dollars,0
"Lawrence, AL",2005,24023,Dollars,0
"Lawrence, AL",2004,23506,Dollars,0
"Lawrence, AL",2015,31747,Dollars,0
"Lawrence, AL",2014,32032,Dollars,0
"Lee, AL",2004,25150,Dollars,0
"Lee, AL",2005,25961,Dollars,0
"Lee, AL",2006,27305,Dollars,0
"Lee, AL",2007,28471,Dollars,0
"Lee, AL",2008,30036,Dollars,0
"Lee, AL",2009,29170,Dollars,0
"Lee, AL",2010,29958,Dollars,0
"Lee, AL",2011,30913,Dollars,0
"Lee, AL",2012,31888,Dollars,0
"Lee, AL",2013,31501,Dollars,0
"Lee, AL",2014,32684,Dollars,0
"Lee, AL",2015,33834,Dollars,0
"Limestone, AL",2013,36415,Dollars,0
"Limestone, AL",2014,36856,Dollars,0
"Limestone, AL",2015,37805,Dollars,0
"Limestone, AL",2004,26050,Dollars,0
"Limestone, AL",2005,27484,Dollars,0
"Limestone, AL",2006,29204,Dollars,0
"Limestone, AL",2007,30708,Dollars,0
"Limestone, AL",2008,32986,Dollars,0
"Limestone, AL",2009,32829,Dollars,0
"Limestone, AL",2010,34093,Dollars,0
"Limestone, AL",2011,35659,Dollars,0
"Limestone, AL",2012,36249,Dollars,0
"Lowndes, AL",2013,34599,Dollars,0
"Lowndes, AL",2014,35670,Dollars,0
"Lowndes, AL",2015,36284,Dollars,0
"Lowndes, AL",2004,23275,Dollars,0
"Lowndes, AL",2005,24246,Dollars,0
"Lowndes, AL",2006,25428,Dollars,0
"Lowndes, AL",2007,27766,Dollars,0
"Lowndes, AL",2008,28634,Dollars,0
"Lowndes, AL",2009,29498,Dollars,0
"Lowndes, AL",2010,30791,Dollars,0
"Lowndes, AL",2011,30644,Dollars,0
"Lowndes, AL",2012,32800,Dollars,0
"Macon, AL",2013,26712,Dollars,0
"Macon, AL",2014,27502,Dollars,0
"Macon, AL",2015,28301,Dollars,0
"Macon, AL",2004,19987,Dollars,0
"Macon, AL",2005,20793,Dollars,0
"Macon, AL",2006,21819,Dollars,0
"Macon, AL",2007,22822,Dollars,0
"Macon, AL",2008,24190,Dollars,0
"Macon, AL",2009,25355,Dollars,0
"Macon, AL",2010,25444,Dollars,0
"Macon, AL",2011,25888,Dollars,0
"Macon, AL",2012,26166,Dollars,0
"Madison, AL",2013,43597,Dollars,0
"Madison, AL",2014,44605,Dollars,0
"Madison, AL",2015,46109,Dollars,0
"Madison, AL",2004,33770,Dollars,0
"Madison, AL",2005,35527,Dollars,0
"Madison, AL",2006,37330,Dollars,0
"Madison, AL",2007,39218,Dollars,0
"Madison, AL",2008,41080,Dollars,0
"Madison, AL",2009,40466,Dollars,0
"Madison, AL",2010,41856,Dollars,0
"Madison, AL",2011,43476,Dollars,0
"Madison, AL",2012,43931,Dollars,0
"Marengo, AL",2013,32990,Dollars,0
"Marengo, AL",2014,33979,Dollars,0
"Marengo, AL",2015,34990,Dollars,0
"Marengo, AL",2004,25128,Dollars,0
"Marengo, AL",2005,26743,Dollars,0
"Marengo, AL",2006,28146,Dollars,0
"Marengo, AL",2007,28782,Dollars,0
"Marengo, AL",2008,29416,Dollars,0
"Marengo, AL",2009,29111,Dollars,0
"Marengo, AL",2010,30475,Dollars,0
"Marengo, AL",2011,31502,Dollars,0
"Marengo, AL",2012,32489,Dollars,0
"Marion, AL",2013,27795,Dollars,0
"Marion, AL",2014,29181,Dollars,0
"Marion, AL",2015,30398,Dollars,0
"Marion, AL",2004,22016,Dollars,0
"Marion, AL",2005,23559,Dollars,0
"Marion, AL",2006,23722,Dollars,0
"Marion, AL",2007,24892,Dollars,0
"Marion, AL",2008,25201,Dollars,0
"Marion, AL",2009,24988,Dollars,0
"Marion, AL",2010,25641,Dollars,0
"Marion, AL",2011,25945,Dollars,0
"Marion, AL",2012,27252,Dollars,0
"Marshall, AL",2013,31076,Dollars,0
"Marshall, AL",2014,32093,Dollars,0
"Marshall, AL",2015,34050,Dollars,0
"Marshall, AL",2004,25717,Dollars,0
"Marshall, AL",2005,26537,Dollars,0
"Marshall, AL",2006,27013,Dollars,0
"Marshall, AL",2007,28111,Dollars,0
"Marshall, AL",2008,28731,Dollars,0
"Marshall, AL",2009,28984,Dollars,0
"Marshall, AL",2010,29709,Dollars,0
"Marshall, AL",2011,29648,Dollars,0
"Marshall, AL",2012,30789,Dollars,0
"Mobile, AL",2013,33671,Dollars,0
"Mobile, AL",2014,34393,Dollars,0
"Mobile, AL",2015,35761,Dollars,0
"Mobile, AL",2004,25198,Dollars,0
"Mobile, AL",2005,27115,Dollars,0
"Mobile, AL",2006,29713,Dollars,0
"Mobile, AL",2007,30479,Dollars,0
"Mobile, AL",2008,31505,Dollars,0
"Mobile, AL",2009,30602,Dollars,0
"Mobile, AL",2010,31865,Dollars,0
"Mobile, AL",2011,33668,Dollars,0
"Mobile, AL",2012,33277,Dollars,0
"Monroe, AL",2014,29941,Dollars,0
"Monroe, AL",2013,28734,Dollars,0
"Monroe, AL",2012,27559,Dollars,0
"Monroe, AL",2011,27400,Dollars,0
"Monroe, AL",2010,27298,Dollars,0
"Monroe, AL",2009,26316,Dollars,0
"Monroe, AL",2008,27251,Dollars,0
"Monroe, AL",2007,25639,Dollars,0
"Monroe, AL",2006,24576,Dollars,0
"Monroe, AL",2005,23941,Dollars,0
"Monroe, AL",2004,23157,Dollars,0
"Monroe, AL",2015,31537,Dollars,0
"Montgomery, AL",2013,37304,Dollars,0
"Montgomery, AL",2012,37060,Dollars,0
"Montgomery, AL",2011,37275,Dollars,0
"Montgomery, AL",2010,35671,Dollars,0
"Montgomery, AL",2009,35154,Dollars,0
"Montgomery, AL",2008,35785,Dollars,0
"Montgomery, AL",2007,35515,Dollars,0
"Montgomery, AL",2006,35057,Dollars,0
"Montgomery, AL",2005,33899,Dollars,0
"Montgomery, AL",2004,32789,Dollars,0
"Montgomery, AL",2015,39733,Dollars,0
"Montgomery, AL",2014,38250,Dollars,0
"Morgan, AL",2004,28337,Dollars,0
"Morgan, AL",2005,29308,Dollars,0
"Morgan, AL",2006,30499,Dollars,0
"Morgan, AL",2007,31550,Dollars,0
"Morgan, AL",2008,32386,Dollars,0
"Morgan, AL",2009,31463,Dollars,0
"Morgan, AL",2010,32356,Dollars,0
"Morgan, AL",2011,32797,Dollars,0
"Morgan, AL",2012,33392,Dollars,0
"Morgan, AL",2013,33775,Dollars,0
"Morgan, AL",2014,35149,Dollars,0
"Morgan, AL",2015,35903,Dollars,0
"Perry, AL",2013,28141,Dollars,0
"Perry, AL",2014,26868,Dollars,0
"Perry, AL",2015,28767,Dollars,0
"Perry, AL",2004,20624,Dollars,0
"Perry, AL",2005,22493,Dollars,0
"Perry, AL",2006,23104,Dollars,0
"Perry, AL",2007,23586,Dollars,0
"Perry, AL",2008,24583,Dollars,0
"Perry, AL",2009,24566,Dollars,0
